date,country,reserves_bn_usd
2020-01-01,China,3115
2020-01-01,Japan,1322
2020-01-01,Switzerland,850
2020-01-01,India,462
2021-01-01,China,3250
2021-01-01,Japan,1390
2021-01-01,Switzerland,1020
2021-01-01,India,585
2022-01-01,China,3310
2022-01-01,Japan,1386
2022-01-01,Switzerland,1100
2022-01-01,India,633
2023-01-01,China,3180
2023-01-01,Japan,1228
2023-01-01,Switzerland,880
2023-01-01,India,562
2024-01-01,China,3240
2024-01-01,Japan,1290
2024-01-01,Switzerland,790
2024-01-01,India,618
2025-01-01,China,3300
2025-01-01,Japan,1270
2025-01-01,Switzerland,820
2025-01-01,India,660
